gene,region,average_expression,log2FC,pval,adj_pval,direction
CYP26C1,HAA,0.0074,2.877,1.1e-13,4.42e-10,enriched
AKR1D1,HAA,0.0068,2.335,1.67e-7,1.43e-4,enriched
FGF8,HAA,0.225,1.702,4.66e-14,2.76e-10,enriched
LOC101749752,HAA,0.0056,1.468,1.55e-5,0.00488,enriched
HHEX,HAA,0.0077,1.44,2.76e-7,1.93e-4,enriched
LOC112530430,HAA,0.0078,1.22,8.52e-5,0.0182,enriched
LOC423301,HAA,0.0271,1.046,1.44e-7,1.31e-4,enriched
MYOF,HAA,0.0563,1.011,4.37e-9,7.4e-6,enriched
NPY,HAA,0.1221,1.009,3.07e-4,0.0481,enriched
SOX3,HAA,0.0105,0.984,5.22e-5,0.0126,enriched
EMB,HAA,0.0799,0.858,5.07e-6,0.00185,enriched
LOC422872,HAA,0.2095,0.842,6.69e-9,9.91e-6,enriched
FOXG1,HAA,0.0955,0.842,2.64e-9,5.57e-6,enriched
TMEM59L,HAA,0.0531,0.819,2.18e-6,9.77e-4,enriched
LOC112529956,HAA,0.0219,0.815,3.06e-5,0.00872,enriched
LRRC3B,HAA,0.0201,0.801,4.12e-5,0.011,enriched
LOC101750883,HAA,0.0304,0.793,3.09e-5,0.00872,enriched
BMP2,HAA,0.1285,0.78,7.92e-5,0.0172,enriched
OCA2,HAA,0.0631,0.754,2.03e-5,0.00602,enriched
GRIN2A,HAA,0.0787,0.727,1.34e-5,0.00434,enriched
CYP26A1,HAA,0.0319,0.725,4.77e-5,0.0118,enriched
PARP8,HAA,0.2953,0.723,7.02e-7,3.96e-4,enriched
PAX2,HAA,0.2184,0.691,1.01e-10,2.98e-7,enriched
CNMD,HAA,0.0481,0.686,8.96e-5,0.0186,enriched
SHE,HAA,0.0274,0.624,1.32e-4,0.0253,enriched
CRABP1,HAA,0.6583,0.614,1.97e-6,9.72e-4,enriched
LOC419429,HAA,0.0322,0.595,9.07e-6,0.00303,enriched
HEY1,HAA,0.7002,0.575,5.08e-9,8.04e-6,enriched
B3GALT2,HAA,0.0359,0.553,3.05e-6,0.00126,enriched
IGFBP5,HAA,0.6439,0.544,4.99e-5,0.0122,enriched
SOSTDC1,HAA,0.141,0.543,4.18e-6,0.0016,enriched
VWC2,HAA,0.1528,0.518,2.16e-9,5.11e-6,enriched
PDE4D,HAA,0.1502,0.509,1.97e-4,0.0354,enriched
HMX1,HAA,0.7218,0.507,1.39e-6,7.16e-4,enriched
TPD52,HAA,0.049,0.496,2.02e-4,0.0354,enriched
WDR86,HAA,0.024,0.481,1.97e-4,0.0354,enriched
DUSP6,HAA,0.1654,0.475,9.29e-5,0.019,enriched
