gene,region,average_expression,log2FC,pval,adj_pval,direction
EPHA3,Fovea,0.0698,3.161,1.19e-10,6.04e-7,enriched
FOXD1,Fovea,0.164,2.936,4.85e-11,4.31e-7,enriched
PCDH8,Fovea,0.0237,1.83,1.3e-5,0.0165,enriched
RLBP1,Fovea,0.0981,1.724,2.94e-7,7.46e-4,enriched
POU3F2,Fovea,0.0369,1.652,4.75e-6,0.00805,enriched
MPZ,Fovea,0.0806,1.326,3.44e-5,0.0235,enriched
FABP7,Fovea,0.4214,1.304,3.87e-7,9.17e-4,enriched
CYP26A1,Fovea,0.0907,1.259,2.74e-5,0.0219,enriched
GRID2,Fovea,0.3419,1.222,5.79e-7,0.00129,enriched
LINC00461,Fovea,0.3641,1.055,1.9e-5,0.0178,enriched
PDGFRA,Fovea,0.0685,1.052,7.76e-5,0.0445,enriched
BEX1,Fovea,0.7945,1.021,1.09e-5,0.0155,enriched
PLP1,Fovea,0.2114,0.995,7.78e-9,2.77e-5,enriched
SPON1,Fovea,0.2399,0.989,1.49e-5,0.0178,enriched
WNT5B,Fovea,0.2342,0.975,1.26e-5,0.0165,enriched
LUM,Fovea,0.2382,0.941,3.24e-5,0.0226,enriched
SAT1,Fovea,0.4751,0.936,4.18e-5,0.0265,enriched
KDR,Fovea,0.1081,0.899,2.81e-5,0.0219,enriched
FAM110B,Fovea,0.1723,0.821,1.96e-5,0.0179,enriched
CA14,Fovea,0.2061,0.809,7.33e-6,0.0116,enriched
EPHA5,Fovea,0.5539,0.72,1.64e-5,0.0178,enriched
COL5A2,Fovea,0.2326,0.717,7.73e-5,0.0445,enriched
CMTM6,Fovea,0.5278,0.655,8.27e-7,0.00163,enriched
SEPT6,Fovea,0.1416,0.637,2.99e-5,0.0224,enriched
QDPR,Fovea,0.223,0.635,1.76e-5,0.0178,enriched
DDHD1,Fovea,0.3838,0.587,3.14e-5,0.0226,enriched
RGS16,Fovea,0.2207,0.581,8.17e-5,0.0451,enriched
MYO10,Fovea,0.2529,0.572,3.21e-5,0.0226,enriched
COL4A2,Fovea,0.6165,0.522,8.11e-5,0.0451,enriched
RORB,Fovea,1.7709,0.518,1.01e-5,0.015,enriched
DAAM1,Fovea,0.9539,0.512,2.79e-5,0.0219,enriched
PTPRZ1,Fovea,0.5271,0.508,2.43e-5,0.0206,enriched
EPB41L2,Fovea,0.404,0.458,9.1e-5,0.0476,enriched
GPM6B,Fovea,0.6311,0.446,1.72e-5,0.0178,enriched
VIM,Fovea,3.0968,0.415,7.93e-8,2.56e-4,enriched
FTH1,Fovea,2.4929,-0.332,1.73e-5,0.0178,de-enriched
SLF1,Fovea,0.6022,-0.593,4.25e-5,0.0265,de-enriched
KLHDC8B,Fovea,0.3086,-0.688,3.02e-5,0.0224,de-enriched
SPINT2,Fovea,0.2642,-0.726,2.34e-5,0.0203,de-enriched
PDLIM5,Fovea,0.2885,-0.82,8.48e-5,0.0451,de-enriched
COL9A2,Fovea,0.1281,-1.059,4.08e-5,0.0265,de-enriched
GJA1,Fovea,0.2216,-1.117,7.43e-7,0.00155,de-enriched
NECAB2,Fovea,0.1263,-1.251,1.67e-5,0.0178,de-enriched
MT1X,Fovea,0.106,-1.275,1.88e-5,0.0178,de-enriched
DAPL1,Fovea,1.355,-1.304,2.91e-9,1.15e-5,de-enriched
FAM84A,Fovea,0.1308,-1.367,2.91e-7,7.46e-4,de-enriched
APCDD1,Fovea,0.0953,-1.487,2.83e-5,0.0219,de-enriched
EFNA5,Fovea,0.6231,-1.561,1.01e-10,5.99e-7,de-enriched
CYP1B1,Fovea,0.6782,-1.681,4.23e-5,0.0265,de-enriched
CRTAC1,Fovea,0.0875,-1.822,7.41e-5,0.0439,de-enriched
LHX9,Fovea,0.1799,-1.833,8.45e-5,0.0451,de-enriched
KRT8,Fovea,0.095,-1.836,7.14e-5,0.043,de-enriched
ALDH1A3,Fovea,0.0857,-2.073,2.12e-7,6.28e-4,de-enriched
HMX1,Fovea,0.5211,-2.562,1.26e-11,1.49e-7,de-enriched
KRT19,Fovea,0.1086,-2.573,1.51e-5,0.0178,de-enriched
SFN,Fovea,0.0301,-3.74,1.17e-5,0.016,de-enriched
ALDH1A1,Fovea,0.2897,-4.089,8.38e-11,5.96e-7,de-enriched
APOA2,Fovea,0.0028,-7.758,2.85e-15,1.01e-10,de-enriched
APOB,Fovea,6e-4,-10,7.53e-6,0.0116,de-enriched
AHSG,Fovea,0.0019,-10,6.57e-12,1.17e-7,de-enriched
SLC34A2,Fovea,0.0056,-10,2.03e-5,0.018,de-enriched
CRYBG1,Fovea,0.0057,-10,5.01e-5,0.0307,de-enriched
APOH,Fovea,9e-4,-10,4.56e-6,0.00805,de-enriched
AFP,Fovea,0.0014,-10,1.37e-10,6.08e-7,de-enriched
KRT3,Fovea,0.0062,-10,3.82e-5,0.0256,de-enriched
KRTDAP,Fovea,0.002,-10,8.5e-5,0.0451,de-enriched
DSG1,Fovea,0.0065,-10,1.87e-5,0.0178,de-enriched
FGB,Fovea,2e-4,-10,1.66e-6,0.00311,de-enriched
EPHA3,Temporal,0.0698,4.467,1.03e-11,1.84e-7,enriched
FOXD1,Temporal,0.164,3.758,3.95e-13,1.4e-8,enriched
RLBP1,Temporal,0.0981,1.5,2.53e-5,0.0328,enriched
OGN,Temporal,0.174,1.471,2.59e-5,0.0328,enriched
GRID2,Temporal,0.3419,1.4,7.44e-9,5.29e-5,enriched
SAT1,Temporal,0.4751,1.339,5.67e-7,0.00155,enriched
FAM110B,Temporal,0.1723,1.228,3.64e-6,0.00719,enriched
LUM,Temporal,0.2382,1.186,6.42e-7,0.00163,enriched
FABP7,Temporal,0.4214,1.16,2.4e-7,8.54e-4,enriched
NFIA,Temporal,0.2277,1.119,1.52e-5,0.0235,enriched
COL3A1,Temporal,0.4216,1.112,1.61e-5,0.0239,enriched
COL1A1,Temporal,0.568,0.92,7.73e-6,0.0137,enriched
BEX1,Temporal,0.7945,0.905,4.22e-8,2.14e-4,enriched
LINC00461,Temporal,0.3641,0.824,3.02e-5,0.0358,enriched
VIM,Temporal,3.0968,0.396,7.76e-8,3.45e-4,enriched
MT-ATP6,Temporal,3.1395,0.295,3.48e-5,0.0387,enriched
MT-CO1,Temporal,3.1065,0.261,5.07e-6,0.00949,enriched
MT-CO3,Temporal,3.4756,0.236,4.18e-5,0.045,enriched
MALAT1,Temporal,5.8322,0.179,1.76e-5,0.025,enriched
DAPL1,Temporal,1.355,-1.396,3.08e-9,2.74e-5,de-enriched
EFNA5,Temporal,0.6231,-2.114,1.99e-10,2.36e-6,de-enriched
LHX9,Temporal,0.1799,-2.212,2.68e-5,0.0328,de-enriched
ALDH1A1,Temporal,0.2897,-2.547,9.43e-7,0.00224,de-enriched
HMX1,Temporal,0.5211,-3.187,2.04e-8,1.21e-4,de-enriched
KRT19,Temporal,0.1086,-3.514,2.08e-5,0.0285,de-enriched
FOXG1,Temporal,0.0348,-5.363,3.35e-5,0.0384,de-enriched
KRT17,Temporal,0.0702,-5.387,1.52e-5,0.0235,de-enriched
KRT5,Temporal,0.0624,-5.452,1.3e-6,0.00289,de-enriched
OPTC,Temporal,0.0492,-10,1.11e-7,4.38e-4,de-enriched
CLIC3,Temporal,0.0135,-10,3.74e-7,0.00121,de-enriched
SERPINA1,Temporal,0.003,-10,4.24e-7,0.00126,de-enriched
KRT12,Temporal,0.0228,-10,9.8e-6,0.0166,de-enriched
SPRR3,Temporal,0.0055,-10,1.45e-6,0.00303,de-enriched
LGALS2,Nasal,0,10,3.91e-5,0.00429,enriched
FGB,Nasal,2e-4,10,3.67e-16,3.27e-12,enriched
MT1B,Nasal,1e-4,10,3.67e-6,6.72e-4,enriched
AFP,Nasal,0.0014,7.414,1.1e-20,1.96e-16,enriched
APOC3,Nasal,9e-4,7.131,1.49e-4,0.0117,enriched
SERPINA6,Nasal,4e-4,6.609,1.67e-11,8.48e-8,enriched
APOH,Nasal,9e-4,6.127,7.19e-7,2.01e-4,enriched
APOA2,Nasal,0.0028,5.973,2.1799999999999999e-23,7.75e-19,enriched
FABP1,Nasal,0.0023,5.652,3.92e-4,0.0246,enriched
TTR,Nasal,0.0048,4.817,8.7e-4,0.0446,enriched
FOXG1,Nasal,0.0348,4.578,7.17e-7,2.01e-4,enriched
HMX1,Nasal,0.5211,2.62,2.59e-16,3.07e-12,enriched
ETNPPL,Nasal,0.0072,2.556,1.73e-5,0.00226,enriched
WFDC1,Nasal,0.0687,2.33,3.4e-9,4.16e-6,enriched
AC209005.1,Nasal,0.0134,2.304,1.82e-6,4.07e-4,enriched
AC092958.1,Nasal,0.0203,2.132,2.89e-9,3.67e-6,enriched
EFNA5,Nasal,0.6231,2.105,1.76e-10,4.81e-7,enriched
PDE11A,Nasal,0.0206,2.069,6.59e-6,0.00108,enriched
EFNA2,Nasal,0.0237,1.969,1.08e-6,2.68e-4,enriched
CALB1,Nasal,0.0764,1.929,8.51e-5,0.00749,enriched
ADAMTS9-AS1,Nasal,0.0223,1.88,5.26e-5,0.00527,enriched
ALDH1A1,Nasal,0.2897,1.869,9.39e-10,1.71e-6,enriched
LINC01551,Nasal,0.0118,1.808,2.29e-4,0.0162,enriched
FGF19,Nasal,0.2353,1.71,6.98e-8,3.94e-5,enriched
AOC3,Nasal,0.0054,1.609,2.32e-4,0.0163,enriched
MECOM,Nasal,0.0532,1.576,8.49e-7,2.32e-4,enriched
CYP1B1,Nasal,0.6782,1.55,9.41e-7,2.46e-4,enriched
SLC16A6,Nasal,0.0183,1.545,1.03e-6,2.58e-4,enriched
CCK,Nasal,0.056,1.536,1.43e-4,0.0114,enriched
LEMD1,Nasal,0.0145,1.482,7.22e-6,0.00114,enriched
VWC2,Nasal,0.0318,1.48,7.52e-9,7.43e-6,enriched
LRRC3B,Nasal,0.031,1.461,8.21e-8,4.42e-5,enriched
SHISA7,Nasal,0.0079,1.461,7.39e-5,0.00681,enriched
CLEC19A,Nasal,0.043,1.448,2.05e-7,9e-5,enriched
OLFM3,Nasal,0.0604,1.427,3.95e-7,1.46e-4,enriched
LHX9,Nasal,0.1799,1.4,2.65e-8,1.88e-5,enriched
ALDH1A3,Nasal,0.0857,1.399,9.48e-8,4.91e-5,enriched
CLDN3,Nasal,0.0316,1.394,3e-5,0.00354,enriched
CHSY3,Nasal,0.16,1.393,6.21e-6,0.00103,enriched
C11orf88,Nasal,0.0256,1.383,3.91e-5,0.00429,enriched
RP11-1338A24.1,Nasal,0.0303,1.382,1.3e-5,0.00181,enriched
CACNA1D,Nasal,0.031,1.373,1.44e-5,0.00193,enriched
RASSF9,Nasal,0.0266,1.357,8.09e-8,4.42e-5,enriched
SALL1,Nasal,0.0246,1.33,4.58e-6,7.86e-4,enriched
CLDN1,Nasal,0.0801,1.327,5.23e-7,1.78e-4,enriched
ADAMTS9-AS2,Nasal,0.022,1.312,2.05e-4,0.0151,enriched
OPRK1,Nasal,0.0211,1.297,7.81e-5,0.00701,enriched
AC087477.2,Nasal,0.009,1.269,2.09e-4,0.0152,enriched
NECAB2,Nasal,0.1263,1.269,7.26e-10,1.52e-6,enriched
CRTAC1,Nasal,0.0875,1.238,1.68e-7,7.82e-5,enriched
ASS1,Nasal,0.0202,1.235,2.39e-4,0.0167,enriched
GAD2,Nasal,0.0259,1.234,3.98e-4,0.0248,enriched
FAM183A,Nasal,0.0329,1.232,4.65e-5,0.00481,enriched
DAPL1,Nasal,1.355,1.217,7.86e-11,3.5e-7,enriched
BAIAP3,Nasal,0.0147,1.202,4.59e-4,0.0276,enriched
CDON,Nasal,0.2097,1.178,1.47e-10,4.74e-7,enriched
SPATA18,Nasal,0.0197,1.177,2.26e-5,0.00274,enriched
COL9A2,Nasal,0.1281,1.17,8.1e-10,1.6e-6,enriched
ZIC1,Nasal,0.1658,1.16,2.44e-9,3.34e-6,enriched
RP11-71N10.1,Nasal,0.0203,1.149,9.44e-4,0.0471,enriched
OPCML,Nasal,0.0759,1.144,2.06e-6,4.45e-4,enriched
C9orf135,Nasal,0.0796,1.141,3.84e-5,0.00426,enriched
HSD17B2,Nasal,0.0334,1.131,1.5e-4,0.0118,enriched
ANO1,Nasal,0.0326,1.126,8.48e-4,0.0438,enriched
RELN,Nasal,0.2411,1.125,1.69e-7,7.82e-5,enriched
PRELP,Nasal,0.0285,1.124,7.78e-4,0.041,enriched
RALYL,Nasal,0.2623,1.123,8.59e-8,4.56e-5,enriched
FIBCD1,Nasal,0.0642,1.112,1.43e-5,0.00193,enriched
ZIC4,Nasal,0.0233,1.1,3.6e-5,0.00409,enriched
LRRK1,Nasal,0.0169,1.1,2.2e-4,0.0158,enriched
TEX26,Nasal,0.017,1.094,3.28e-4,0.0213,enriched
SCGB3A1,Nasal,0.0431,1.091,3.26e-7,1.26e-4,enriched
PGM5,Nasal,0.0325,1.075,4.27e-6,7.52e-4,enriched
APCDD1,Nasal,0.0953,1.065,1.57e-6,3.58e-4,enriched
OTX1,Nasal,0.0325,1.049,6.69e-6,0.00108,enriched
RP1-39G22.7,Nasal,0.0675,1.042,3.13e-6,6.01e-4,enriched
AC006450.3,Nasal,0.039,1.038,1.78e-5,0.0023,enriched
PALMD,Nasal,0.0472,1.033,3.92e-6,7.12e-4,enriched
PCSK1N,Nasal,0.2109,1.03,8.94e-7,2.39e-4,enriched
PTH2,Nasal,0.0345,1.027,3.95e-4,0.0247,enriched
CACNB2,Nasal,0.0885,1.024,1.15e-6,2.83e-4,enriched
ISLR2,Nasal,0.0906,1.024,6.27e-7,1.85e-4,enriched
POLR3G,Nasal,0.0151,1.011,3.14e-4,0.0206,enriched
AC023300.2,Nasal,0.0427,1.01,4.44e-6,7.66e-4,enriched
CFAP47,Nasal,0.1198,0.995,3.12e-5,0.00366,enriched
LGR6,Nasal,0.0392,0.994,8.18e-6,0.00124,enriched
COL22A1,Nasal,0.016,0.993,0.00101,0.049,enriched
SYT17,Nasal,0.0509,0.99,2.56e-6,5.15e-4,enriched
LRRC10B,Nasal,0.0474,0.963,8.79e-6,0.00132,enriched
LYPD6B,Nasal,0.0147,0.953,2.54e-4,0.0175,enriched
C20orf85,Nasal,0.0131,0.945,2.65e-4,0.0181,enriched
GJA1,Nasal,0.2216,0.944,1.12e-7,5.55e-5,enriched
SYT7,Nasal,0.107,0.939,1.89e-5,0.0024,enriched
LRRN2,Nasal,0.027,0.937,8.43e-5,0.00745,enriched
KSR2,Nasal,0.0735,0.925,6.98e-4,0.0381,enriched
NEBL,Nasal,0.0324,0.924,6.93e-4,0.038,enriched
CPAMD8,Nasal,0.2783,0.913,5.67e-7,1.81e-4,enriched
FOXI3,Nasal,0.0256,0.911,5.5e-4,0.0322,enriched
SHISA9,Nasal,0.0283,0.903,6.98e-4,0.0381,enriched
PTPRQ,Nasal,0.1366,0.902,3.84e-4,0.0243,enriched
ZNF215,Nasal,0.0305,0.898,3.29e-5,0.00383,enriched
MYOCD,Nasal,0.0139,0.897,5.74e-4,0.0331,enriched
KIRREL3,Nasal,0.0849,0.896,1.48e-4,0.0116,enriched
KCNJ13,Nasal,0.0627,0.888,1.33e-4,0.0108,enriched
PNMA8C,Nasal,0.0381,0.885,1.04e-4,0.0088,enriched
MIR503HG,Nasal,0.0533,0.885,4.76e-5,0.00489,enriched
EDARADD,Nasal,0.0199,0.883,1.43e-4,0.0114,enriched
CFAP74,Nasal,0.0243,0.882,6.23e-4,0.0352,enriched
CRACR2B,Nasal,0.0549,0.881,6.28e-7,1.85e-4,enriched
PACRG,Nasal,0.0435,0.878,1.27e-5,0.00177,enriched
UNC5B,Nasal,0.0158,0.867,9.58e-4,0.0475,enriched
LINC02249,Nasal,0.0236,0.866,1.62e-4,0.0125,enriched
TLE3,Nasal,0.1804,0.863,1.75e-5,0.00227,enriched
DNAH7,Nasal,0.0325,0.86,2.11e-4,0.0153,enriched
BMP2,Nasal,0.0218,0.859,9.7e-5,0.00831,enriched
RMST,Nasal,0.1863,0.855,7.21e-6,0.00114,enriched
TMEM205,Nasal,0.1891,0.855,4.81e-7,1.69e-4,enriched
AC010931.2,Nasal,0.1162,0.854,2.3e-6,4.81e-4,enriched
DIO3,Nasal,0.2469,0.847,3.27e-6,6.22e-4,enriched
C5orf49,Nasal,0.0568,0.845,2.6e-6,5.19e-4,enriched
AJAP1,Nasal,0.0298,0.842,4.43e-4,0.0269,enriched
FAM84A,Nasal,0.1308,0.841,9.82e-10,1.71e-6,enriched
DNAAF3,Nasal,0.0522,0.839,7.44e-6,0.00116,enriched
AL121899.1,Nasal,0.0198,0.838,1.56e-4,0.0121,enriched
CHST15,Nasal,0.0501,0.835,1.45e-4,0.0115,enriched
CFAP299,Nasal,0.1345,0.815,4.97e-5,0.00506,enriched
SYNPR,Nasal,0.1918,0.81,3.59e-4,0.023,enriched
SAMD15,Nasal,0.0325,0.809,1.04e-4,0.0088,enriched
CDH6,Nasal,0.2739,0.805,9.91e-9,9.28e-6,enriched
COL13A1,Nasal,0.1626,0.804,3.86e-9,4.16e-6,enriched
PPP1R32,Nasal,0.0215,0.804,7.44e-4,0.0394,enriched
EFHD2,Nasal,0.1128,0.793,3.85e-9,4.16e-6,enriched
MEIS2,Nasal,0.2133,0.79,2.52e-8,1.83e-5,enriched
NR2F1,Nasal,0.5763,0.783,1.02e-9,1.71e-6,enriched
PIK3R4,Nasal,0.0626,0.782,5.73e-5,0.00558,enriched
IKBIP,Nasal,0.1729,0.782,2.23e-10,5.65e-7,enriched
ARSG,Nasal,0.0661,0.777,4.16e-5,0.00444,enriched
COL23A1,Nasal,0.1929,0.775,3.06e-7,1.2e-4,enriched
RUNDC1,Nasal,0.0736,0.766,4.54e-5,0.00475,enriched
LINC01658,Nasal,0.0307,0.765,6.6e-4,0.0367,enriched
ZIC5,Nasal,0.1071,0.764,2.18e-5,0.0027,enriched
RSPH9,Nasal,0.1715,0.761,8.89e-9,8.55e-6,enriched
MEIS1-AS2,Nasal,0.0377,0.759,6.25e-5,0.00598,enriched
CNTNAP3,Nasal,0.0346,0.756,2.24e-4,0.016,enriched
RDH10,Nasal,0.2168,0.75,1.34e-6,3.13e-4,enriched
CCDC160,Nasal,0.0458,0.745,1.9e-4,0.0142,enriched
BMPR1B,Nasal,0.1154,0.739,3.74e-5,0.00419,enriched
FGF8,Nasal,0.1235,0.738,2.32e-4,0.0163,enriched
PCDH9,Nasal,0.2544,0.727,4.91e-7,1.69e-4,enriched
SPAG1,Nasal,0.0352,0.726,6.77e-5,0.00639,enriched
SYT5,Nasal,0.0474,0.724,2.2e-5,0.00271,enriched
GCHFR,Nasal,0.1552,0.722,4.21e-8,2.67e-5,enriched
NBPF1,Nasal,0.0655,0.719,1.25e-6,2.99e-4,enriched
KLHDC8B,Nasal,0.3086,0.714,1.47e-9,2.27e-6,enriched
MRPL1,Nasal,0.2057,0.714,4.57e-9,4.78e-6,enriched
KITLG,Nasal,0.0432,0.714,2.31e-4,0.0163,enriched
ABLIM2,Nasal,0.0739,0.71,1.84e-5,0.00236,enriched
PDLIM5,Nasal,0.2885,0.699,2.83e-7,1.16e-4,enriched
BTBD17,Nasal,0.0477,0.699,2.08e-4,0.0152,enriched
MUC12,Nasal,0.1246,0.697,2.21e-5,0.00272,enriched
CNTNAP3B,Nasal,0.1139,0.696,1.62e-6,3.64e-4,enriched
FAR2,Nasal,0.0818,0.695,1.14e-5,0.00163,enriched
GPR162,Nasal,0.0551,0.694,6.08e-6,0.00101,enriched
ATP1A2,Nasal,0.0739,0.688,6.76e-4,0.0373,enriched
DTNA,Nasal,0.2004,0.687,7.66e-6,0.00118,enriched
PLCH1,Nasal,0.2193,0.684,1.18e-6,2.87e-4,enriched
C22orf15,Nasal,0.0299,0.683,1.55e-4,0.012,enriched
C1orf53,Nasal,0.0724,0.678,2.45e-6,5.01e-4,enriched
FZD5,Nasal,0.5097,0.676,9.67e-7,2.49e-4,enriched
ZIC2,Nasal,0.3892,0.676,5.62e-6,9.39e-4,enriched
TENM1,Nasal,0.0385,0.673,6.39e-4,0.0358,enriched
TEKT2,Nasal,0.1257,0.671,9.71e-6,0.00143,enriched
TPPP3,Nasal,0.3225,0.671,1.7e-9,2.52e-6,enriched
TENM2,Nasal,0.0577,0.668,5.79e-4,0.0332,enriched
HOMER2,Nasal,0.3316,0.66,6.34e-7,1.85e-4,enriched
SLF1,Nasal,0.6022,0.659,2.85e-9,3.67e-6,enriched
MAN1A1,Nasal,0.3108,0.659,3.73e-9,4.16e-6,enriched
RSPH1,Nasal,0.0829,0.652,2.29e-4,0.0162,enriched
FANK1,Nasal,0.0531,0.65,7.56e-5,0.00684,enriched
CNFN,Nasal,0.0269,0.65,3.99e-4,0.0248,enriched
COL2A1,Nasal,0.5451,0.644,2.37e-6,4.9e-4,enriched
SMKR1,Nasal,0.0632,0.643,4.53e-4,0.0274,enriched
LAMA5,Nasal,0.0293,0.643,4.91e-4,0.0294,enriched
CMTM8,Nasal,0.0488,0.641,4.47e-4,0.0271,enriched
HYDIN,Nasal,0.0809,0.64,4.58e-4,0.0276,enriched
ATOH8,Nasal,0.0604,0.639,2.35e-4,0.0164,enriched
COL9A1,Nasal,0.463,0.623,1.56e-6,3.57e-4,enriched
DSEL,Nasal,0.1695,0.623,6.72e-7,1.93e-4,enriched
ADAMTS3,Nasal,0.0779,0.621,2.53e-4,0.0175,enriched
COL25A1,Nasal,0.3671,0.621,5.05e-8,3.09e-5,enriched
CADPS2,Nasal,0.2498,0.621,5.4e-5,0.00536,enriched
PDPN,Nasal,0.0588,0.615,7.5e-5,0.00682,enriched
ATP2A2,Nasal,0.2087,0.613,7.33e-6,0.00115,enriched
CCDC74B,Nasal,0.0406,0.612,2.04e-4,0.015,enriched
AC004540.2,Nasal,0.0543,0.603,9.42e-4,0.0471,enriched
ERICH5,Nasal,0.2131,0.601,3.86e-4,0.0243,enriched
LRP2,Nasal,0.3524,0.6,3.93e-5,0.00429,enriched
ZSCAN1,Nasal,0.0851,0.599,5.59e-4,0.0325,enriched
CCNA1,Nasal,0.0847,0.598,1.16e-4,0.00962,enriched
DUSP18,Nasal,0.0571,0.598,1.94e-4,0.0145,enriched
EFNA3,Nasal,0.0331,0.595,2.19e-4,0.0157,enriched
MAGI3,Nasal,0.354,0.594,2.28e-6,4.8e-4,enriched
DERL3,Nasal,0.0746,0.59,2.71e-4,0.0185,enriched
ENKUR,Nasal,0.0985,0.589,4.62e-5,0.00479,enriched
C9orf116,Nasal,0.087,0.588,3.09e-5,0.00364,enriched
NKAIN4,Nasal,0.4476,0.588,5.27e-7,1.78e-4,enriched
LEF1,Nasal,0.143,0.585,9.35e-7,2.46e-4,enriched
SFRP2,Nasal,1.7425,0.584,3.88e-7,1.45e-4,enriched
FAM227A,Nasal,0.1503,0.582,8.19e-6,0.00124,enriched
CCDC157,Nasal,0.1074,0.58,2.44e-5,0.00293,enriched
STMN4,Nasal,0.0906,0.578,9.96e-4,0.0486,enriched
GPC6,Nasal,0.4114,0.577,2.64e-6,5.25e-4,enriched
CNIH2,Nasal,0.0751,0.574,3.76e-6,6.86e-4,enriched
DZANK1,Nasal,0.069,0.57,3.14e-4,0.0206,enriched
IQCA1,Nasal,0.043,0.567,6.04e-4,0.0343,enriched
AGBL4,Nasal,0.2276,0.565,6.86e-4,0.0378,enriched
PARD6A,Nasal,0.0616,0.565,2.69e-4,0.0184,enriched
JAG1,Nasal,0.0813,0.562,1.71e-5,0.00225,enriched
FZD3,Nasal,0.5649,0.56,4.1e-6,7.36e-4,enriched
CCDC33,Nasal,0.0356,0.56,6.89e-4,0.0379,enriched
SAMD11,Nasal,0.0931,0.559,3.34e-7,1.28e-4,enriched
ASTN1,Nasal,0.1168,0.558,5.16e-5,0.00518,enriched
STRA6,Nasal,0.1435,0.557,5.56e-7,1.81e-4,enriched
RAX,Nasal,0.8685,0.554,1.73e-5,0.00226,enriched
FLRT2,Nasal,0.186,0.553,6.75e-4,0.0373,enriched
APC2,Nasal,0.0661,0.55,3.7e-4,0.0234,enriched
EFNB3,Nasal,0.0817,0.549,2.07e-5,0.00259,enriched
DIO3OS,Nasal,0.1405,0.545,4.18e-4,0.0256,enriched
REEP6,Nasal,0.0559,0.538,8.73e-4,0.0447,enriched
NPAS3,Nasal,0.2262,0.533,6.77e-5,0.00639,enriched
KLHDC9,Nasal,0.055,0.531,7.02e-4,0.0382,enriched
VSX2,Nasal,0.4666,0.53,2.41e-4,0.0168,enriched
RAB31,Nasal,0.5409,0.529,1.88e-5,0.0024,enriched
CCDC146,Nasal,0.0788,0.527,5.24e-4,0.0311,enriched
FIGN,Nasal,0.5197,0.526,5.83e-7,1.81e-4,enriched
VSTM2L,Nasal,0.0588,0.526,9.21e-4,0.0462,enriched
CXADR,Nasal,0.3309,0.526,4.83e-5,0.00493,enriched
MSI2,Nasal,1.3831,0.524,3.3e-8,2.3e-5,enriched
ELAVL2,Nasal,0.0917,0.519,7.41e-5,0.00681,enriched
TGFB2,Nasal,0.1533,0.515,4.27e-4,0.0261,enriched
ADGRV1,Nasal,0.2209,0.514,3.61e-5,0.00409,enriched
ZDHHC1,Nasal,0.0549,0.513,2.65e-4,0.0181,enriched
KHDRBS3,Nasal,0.1607,0.507,5.29e-6,8.87e-4,enriched
COLEC12,Nasal,0.2562,0.506,5.89e-7,1.81e-4,enriched
FEZF2,Nasal,0.3304,0.505,3.3e-5,0.00384,enriched
LHX2,Nasal,0.4609,0.504,6.51e-6,0.00107,enriched
CRIP2,Nasal,0.2038,0.502,9.74e-8,4.95e-5,enriched
ZBTB16,Nasal,0.167,0.5,1.18e-5,0.00167,enriched
CFAP300,Nasal,0.0516,0.499,2.14e-4,0.0154,enriched
SORCS1,Nasal,0.6309,0.498,8.01e-7,2.21e-4,enriched
CENPA,Nasal,0.129,0.497,2.02e-4,0.015,enriched
MUM1,Nasal,0.5055,0.497,5.56e-8,3.3e-5,enriched
NRIP1,Nasal,0.4148,0.493,5.92e-7,1.81e-4,enriched
SELENOP,Nasal,0.3451,0.492,7.16e-4,0.0383,enriched
UTRN,Nasal,0.247,0.491,2.4e-7,1.03e-4,enriched
NLRP1,Nasal,0.2743,0.483,4.4e-6,7.66e-4,enriched
C19orf81,Nasal,0.0722,0.482,3.08e-4,0.0204,enriched
PRR7,Nasal,0.1334,0.48,2.2e-6,4.69e-4,enriched
SIX6,Nasal,0.9552,0.48,1.56e-5,0.00208,enriched
HIST1H2BH,Nasal,0.0586,0.475,2.96e-4,0.0197,enriched
RIC3,Nasal,0.1394,0.474,1.31e-4,0.0107,enriched
DCLK1,Nasal,0.2556,0.47,1.57e-5,0.00209,enriched
CCDC148,Nasal,0.0648,0.467,7.08e-4,0.0382,enriched
PLTP,Nasal,0.1103,0.467,1.35e-4,0.0109,enriched
CCDC34,Nasal,0.5926,0.465,1.07e-8,9.29e-6,enriched
HES1,Nasal,1.1971,0.461,3.02e-7,1.19e-4,enriched
MIS18BP1,Nasal,0.4857,0.461,4.16e-6,7.43e-4,enriched
PLPPR3,Nasal,0.1977,0.456,5.8e-8,3.38e-5,enriched
ASPM,Nasal,0.2702,0.453,9.64e-4,0.0476,enriched
TRPS1,Nasal,0.222,0.451,7.18e-5,0.0067,enriched
ISYNA1,Nasal,0.5512,0.449,2.95e-6,5.7e-4,enriched
DNAAF4,Nasal,0.0585,0.447,5.11e-4,0.0305,enriched
ARL4C,Nasal,0.1865,0.445,8.57e-4,0.044,enriched
ERC2,Nasal,0.161,0.442,1.09e-4,0.00909,enriched
